LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:21:52,0                 
Time,Ampl
-3.5136491,0.0159333
-3.5126491,0.0151528
-3.5116491,0.0144806
-3.5106491,0.0142167
-3.5096491,0.0141722
-3.5086491,0.0141778
-3.5076491,0.0142056
-3.5066491,0.0145
-3.5056491,0.0147194
-3.5046491,0.0148722
-3.5036491,0.0150194
-3.5026491,0.0152167
-3.5016491,0.0151056
-3.5006491,0.0146306
-3.4996491,0.0140167
-3.4986491,0.0135806
-3.4976491,0.0135583
-3.4966491,0.0140333
-3.4956491,0.0151139
-3.4946491,0.0164889
-3.4936491,0.0176333
-3.4926491,0.0179889
-3.4916491,0.0176333
-3.4906491,0.0165889
-3.4896491,0.01525
-3.4886491,0.0139139
-3.4876491,0.0133444
-3.4866491,0.0132972
-3.4856491,0.0135861
-3.4846491,0.0136611
-3.4836491,0.0136222
-3.4826491,0.0129167
-3.4816491,0.0118833
-3.4806491,0.0109694
-3.4796491,0.0106444
-3.4786491,0.0104861
-3.4776491,0.0105444
-3.4766491,0.0108083
-3.4756491,0.0110444
-3.4746491,0.010825
-3.4736491,0.0105361
-3.4726491,0.0104639
-3.4716491,0.0105361
-3.4706491,0.0107778
-3.4696491,0.0115639
-3.4686491,0.0129056
-3.4676491,0.0142472
-3.4666491,0.0153667
-3.4656491,0.0159944
-3.4646491,0.0163361
-3.4636491,0.0162111
-3.4626491,0.0162778
-3.4616491,0.0164417
-3.4606491,0.0169722
-3.4596491,0.0172528
-3.4586491,0.0173611
-3.4576491,0.0170861
-3.4566491,0.0169667
-3.4556491,0.0170972
-3.4546491,0.0174917
-3.4536491,0.0179639
-3.4526491,0.0182167
-3.4516491,0.0181333
-3.4506491,0.0175583
-3.4496491,0.0169167
-3.4486491,0.016525
-3.4476491,0.0165583
-3.4466491,0.0166667
-3.4456491,0.0167167
-3.4446491,0.0164944
-3.4436491,0.0158778
-3.4426491,0.0149222
-3.4416491,0.0139583
-3.4406491,0.0131944
-3.4396491,0.012775
-3.4386491,0.0126806
-3.4376491,0.0129917
-3.4366491,0.0136722
-3.4356491,0.0147917
-3.4346491,0.0161917
-3.4336491,0.0176889
-3.4326491,0.0188861
-3.4316491,0.0194806
-3.4306491,0.0192278
-3.4296491,0.0182278
-3.4286491,0.0168556
-3.4276491,0.0155528
-3.4266491,0.0146556
-3.4256491,0.0142667
-3.4246491,0.0141722
-3.4236491,0.0142556
-3.4226491,0.0144028
-3.4216491,0.0146889
-3.4206491,0.0150028
-3.4196491,0.0155972
-3.4186491,0.0163806
-3.4176491,0.0171861
-3.4166491,0.0176417
-3.4156491,0.0176917
-3.4146491,0.01745
-3.4136491,0.0168611
-3.4126491,0.0161444
-3.4116491,0.0154361
-3.4106491,0.0152028
-3.4096491,0.0150417
-3.4086491,0.0149556
-3.4076491,0.0146528
-3.4066491,0.0143389
-3.4056491,0.0137361
-3.4046491,0.0131222
-3.4036491,0.0127139
-3.4026491,0.0128472
-3.4016491,0.013125
-3.4006491,0.0135278
-3.3996491,0.013875
-3.3986491,0.0140389
-3.3976491,0.0136139
-3.3966491,0.0130333
-3.3956491,0.0125333
-3.3946491,0.0121167
-3.3936491,0.0115944
-3.3926491,0.0113972
-3.3916491,0.0115556
-3.3906491,0.0116528
-3.3896491,0.011825
-3.3886491,0.0123444
-3.3876491,0.0133417
-3.3866491,0.0143194
-3.3856491,0.0154056
-3.3846491,0.0163278
-3.3836491,0.0170194
-3.3826491,0.0170028
-3.3816491,0.0165389
-3.3806491,0.0159333
-3.3796491,0.0157444
-3.3786491,0.016
-3.3776491,0.0165139
-3.3766491,0.0171444
-3.3756491,0.0175083
-3.3746491,0.0172306
-3.3736491,0.0161417
-3.3726491,0.0147917
-3.3716491,0.013475
-3.3706491,0.0123611
-3.3696491,0.0114417
-3.3686491,0.0110167
-3.3676491,0.0110111
-3.3666491,0.0116972
-3.3656491,0.0127972
-3.3646491,0.0144861
-3.3636491,0.0161528
-3.3626491,0.0175472
-3.3616491,0.017725
-3.3606491,0.0171056
-3.3596491,0.0162889
-3.3586491,0.0161639
-3.3576491,0.0168139
-3.3566491,0.0183861
-3.3556491,0.0205833
-3.3546491,0.0219611
-3.3536491,0.0219639
-3.3526491,0.0207111
-3.3516491,0.0190194
-3.3506491,0.0169639
-3.3496491,0.0153694
-3.3486491,0.0146222
-3.3476491,0.01465
-3.3466491,0.01495
-3.3456491,0.0154778
-3.3446491,0.0160111
-3.3436491,0.0159778
-3.3426491,0.0152361
-3.3416491,0.0138639
-3.3406491,0.0122944
-3.3396491,0.0107694
-3.3386491,0.00987778
-3.3376491,0.00976944
-3.3366491,0.0106611
-3.3356491,0.0119528
-3.3346491,0.0134806
-3.3336491,0.0146667
-3.3326491,0.0155194
-3.3316491,0.0160278
-3.3306491,0.0165806
-3.3296491,0.0173472
-3.3286491,0.01835
-3.3276491,0.0195028
-3.3266491,0.0200639
-3.3256491,0.0198944
-3.3246491,0.0187333
